IP:PORT, LOSS, DELAY
188.114.96.112:5279,0.00%,3 ms
188.114.97.35:891,0.00%,3 ms
162.159.195.128:5279,0.00%,3 ms
188.114.99.251:5279,0.00%,3 ms
188.114.99.10:5279,0.00%,3 ms
188.114.99.75:5279,0.00%,3 ms
188.114.97.174:5279,0.00%,3 ms
162.159.195.204:891,0.00%,3 ms
188.114.97.16:891,0.00%,3 ms
188.114.96.10:891,0.00%,3 ms
188.114.97.77:5279,0.00%,3 ms
188.114.97.35:5279,0.00%,3 ms
188.114.98.74:5279,0.00%,3 ms
188.114.98.75:5279,0.00%,3 ms
188.114.99.23:891,0.00%,3 ms
188.114.97.163:5279,0.00%,3 ms
188.114.99.75:891,0.00%,3 ms
188.114.97.25:891,0.00%,3 ms
188.114.98.23:891,0.00%,3 ms
188.114.99.175:891,0.00%,3 ms
188.114.96.217:5279,0.00%,3 ms
162.159.195.63:891,0.00%,3 ms
188.114.98.212:5279,0.00%,3 ms
162.159.192.136:5279,0.00%,3 ms
188.114.97.174:891,0.00%,3 ms
188.114.97.129:5279,0.00%,3 ms
188.114.98.227:891,0.00%,3 ms
188.114.96.184:891,0.00%,3 ms
162.159.195.1:891,0.00%,3 ms
162.159.195.204:5279,0.00%,3 ms
162.159.195.104:891,0.00%,3 ms
188.114.97.112:891,0.00%,3 ms
188.114.97.25:5279,0.00%,3 ms
188.114.97.16:5279,0.00%,3 ms
188.114.99.10:891,0.00%,3 ms
188.114.98.74:891,0.00%,3 ms
188.114.97.129:891,0.00%,3 ms
188.114.98.227:5279,0.00%,3 ms
162.159.195.172:891,0.00%,3 ms
162.159.195.128:891,0.00%,3 ms
188.114.99.144:5279,0.00%,3 ms
162.159.195.172:5279,0.00%,3 ms
188.114.96.197:5279,0.00%,3 ms
188.114.96.104:891,0.00%,3 ms
162.159.195.104:5279,0.00%,3 ms
188.114.98.251:5279,0.00%,3 ms
162.159.192.239:5279,0.00%,3 ms
188.114.98.48:5279,0.00%,3 ms
188.114.99.175:5279,0.00%,3 ms
188.114.97.173:891,0.00%,3 ms
162.159.192.175:891,0.00%,3 ms
188.114.97.173:5279,0.00%,3 ms
188.114.97.126:5279,0.00%,3 ms
162.159.195.136:5279,0.00%,3 ms
188.114.99.133:891,0.00%,3 ms
188.114.97.126:891,0.00%,3 ms
162.159.192.81:5279,0.00%,3 ms
188.114.98.189:891,0.00%,3 ms
162.159.192.113:891,0.00%,3 ms
188.114.96.24:891,0.00%,3 ms
188.114.97.77:891,0.00%,3 ms
162.159.195.183:5279,0.00%,3 ms
188.114.96.146:891,0.00%,3 ms
162.159.192.129:5279,0.00%,3 ms
188.114.96.146:5279,0.00%,3 ms
162.159.192.75:5279,0.00%,3 ms
188.114.98.220:5279,0.00%,3 ms
188.114.98.175:891,0.00%,3 ms
188.114.99.184:5279,0.00%,3 ms
188.114.98.189:5279,0.00%,3 ms
162.159.192.117:891,0.00%,3 ms
188.114.96.241:891,0.00%,3 ms
162.159.192.175:5279,0.00%,3 ms
188.114.99.23:5279,0.00%,3 ms
162.159.195.186:891,0.00%,3 ms
162.159.195.186:5279,0.00%,3 ms
162.159.192.72:891,0.00%,3 ms
188.114.99.251:891,0.00%,3 ms
188.114.96.112:891,0.00%,3 ms
162.159.192.117:5279,0.00%,3 ms
162.159.192.239:891,0.00%,3 ms
188.114.98.75:891,0.00%,3 ms
162.159.195.52:5279,0.00%,3 ms
162.159.192.129:891,0.00%,3 ms
162.159.192.72:5279,0.00%,3 ms
188.114.99.144:891,0.00%,3 ms
188.114.99.46:5279,0.00%,3 ms
162.159.192.113:5279,0.00%,3 ms
188.114.97.4:5279,0.00%,3 ms
188.114.96.241:5279,0.00%,3 ms
162.159.195.63:5279,0.00%,3 ms
188.114.98.23:5279,0.00%,4 ms
162.159.192.136:891,0.00%,4 ms
162.159.195.136:891,0.00%,4 ms
188.114.96.10:5279,0.00%,4 ms
162.159.195.209:891,0.00%,4 ms
162.159.195.40:5279,0.00%,4 ms
162.159.195.212:891,0.00%,4 ms
162.159.192.75:891,0.00%,4 ms
188.114.99.151:5279,0.00%,4 ms
188.114.97.4:891,0.00%,4 ms
162.159.192.81:891,0.00%,4 ms
162.159.195.1:5279,0.00%,4 ms
188.114.96.229:891,0.00%,4 ms
188.114.96.184:5279,0.00%,4 ms
188.114.99.46:891,0.00%,4 ms
188.114.99.184:891,0.00%,4 ms
162.159.195.212:5279,0.00%,4 ms
188.114.96.217:891,0.00%,4 ms
188.114.98.118:891,0.00%,4 ms
162.159.195.183:891,0.00%,4 ms
162.159.192.57:891,0.00%,4 ms
188.114.98.14:891,0.00%,4 ms
188.114.96.24:5279,0.00%,4 ms
162.159.195.40:891,0.00%,4 ms
188.114.98.71:891,0.00%,4 ms
162.159.195.209:5279,0.00%,4 ms
162.159.195.52:891,0.00%,4 ms
188.114.97.86:891,0.00%,4 ms
162.159.192.103:5279,0.00%,4 ms
188.114.98.118:5279,0.00%,4 ms
188.114.97.100:5279,0.00%,4 ms
188.114.98.175:5279,0.00%,4 ms
188.114.96.229:5279,0.00%,4 ms
188.114.98.251:891,0.00%,4 ms
188.114.99.151:891,0.00%,4 ms
162.159.192.10:5279,0.00%,4 ms
188.114.96.104:5279,0.00%,4 ms
162.159.192.57:5279,0.00%,4 ms
162.159.192.103:891,0.00%,4 ms
162.159.192.10:891,0.00%,4 ms
188.114.98.152:891,0.00%,4 ms
188.114.97.112:5279,0.00%,4 ms
188.114.98.212:891,0.00%,4 ms
188.114.98.152:5279,0.00%,4 ms
188.114.99.133:5279,0.00%,4 ms
188.114.98.14:5279,0.00%,4 ms
188.114.98.226:5279,0.00%,4 ms
188.114.97.86:5279,0.00%,4 ms
188.114.98.48:891,0.00%,4 ms
188.114.98.226:891,0.00%,4 ms
188.114.97.163:891,0.00%,4 ms
188.114.98.71:5279,0.00%,4 ms
188.114.97.100:891,0.00%,4 ms
188.114.96.197:891,0.00%,4 ms
188.114.98.220:891,0.00%,4 ms
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
